10000000
Uniform random distribution,1,813,743,724,691,910,919,919,917,923,779
Uniform random distribution,2,705,866,846,725,1014,919,705,748,1004,944
Uniform random distribution,3,841,917,900,848,706,883,906,935,873,920
Uniform random distribution,4,846,681,821,902,835,922,918,902,778,698
Uniform random distribution,5,858,894,917,903,907,637,731,944,927,710
Uniform random distribution,6,890,668,795,843,817,897,913,916,910,895
Uniform random distribution,7,835,906,747,757,881,762,854,703,915,908
Uniform random distribution,8,918,913,774,883,735,838,919,919,912,863
Common value distribution,1,754,868,916,842,714,891,889,891,908,917
Common value distribution,2,906,905,799,747,699,899,731,913,808,721
Common value distribution,3,799,699,840,831,878,853,878,706,804,918
Common value distribution,4,903,908,910,852,698,848,845,747,847,749
Common value distribution,5,921,911,673,693,901,924,719,920,896,725
Common value distribution,6,700,909,822,840,797,912,863,913,914,763
Common value distribution,7,910,893,875,917,897,921,897,905,797,904
Common value distribution,8,866,800,741,922,902,637,687,847,750,854
All zeros,1,185,185,185,186,185,253,342,266,187,188
All zeros,2,187,186,187,187,187,188,188,187,186,187
All zeros,3,188,186,188,188,186,186,187,187,188,186
All zeros,4,186,189,187,187,186,187,187,187,186,187
All zeros,5,187,187,187,187,189,188,186,187,187,188
All zeros,6,187,186,187,186,186,186,287,292,187,186
All zeros,7,186,186,191,343,340,206,186,187,186,186
All zeros,8,187,188,320,258,187,191,187,186,332,247
All max int,1,671,835,835,836,835,839,834,832,833,835
All max int,2,832,835,613,675,843,833,852,748,838,790
All max int,3,595,521,772,746,807,843,813,832,833,832
All max int,4,835,835,833,843,832,624,667,837,830,841
All max int,5,616,611,780,837,834,839,837,620,799,837
All max int,6,600,634,838,835,570,458,531,803,833,620
All max int,7,540,489,542,826,831,835,643,654,836,835
All max int,8,843,624,665,832,835,565,827,792,830,831
Monotomically increasing,1,483,319,318,368,560,397,307,324,315,309
Monotomically increasing,2,321,379,555,526,309,305,325,301,451,371
Monotomically increasing,3,315,324,317,318,316,338,392,450,494,525
Monotomically increasing,4,562,520,318,304,324,353,347,321,306,322
Monotomically increasing,5,309,317,318,313,389,535,549,523,475,322
Monotomically increasing,6,317,327,307,312,308,320,318,334,312,327
Monotomically increasing,7,318,316,328,328,361,487,323,330,329,388
Monotomically increasing,8,481,336,316,329,331,327,355,574,328,320
